step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.709393651436628,0,0.0,0.9518788792238287,0,0.0
10.0,0,0.0,0.0,13.03453900739981,0,0.0,0.9449965541351033,0,0.0
15.0,0,0.0,0.0,10.781370949047812,0,0.0,0.7991204712684372,0,0.0
20.0,3,10.0,0.625,8.708246460721966,3,10.0,0.582585610726765,3,10.0
25.0,7,35.0,1.9444444444444444,7.427480905814807,7,35.0,0.4901401033790168,7,35.0
30.0,8,72.0,3.272727272727273,7.135603369046897,8,72.0,0.3910800899960935,8,72.0
35.0,11,122.0,5.083333333333333,6.775624451971987,11,122.0,0.358032047306861,11,122.0
40.0,8,61.0,2.44,6.208740510626125,8,129.0,0.3297576719518374,8,129.0
45.0,1,2.0,0.06666666666666667,8.314791216288231,1,78.0,0.5170682501210279,1,78.0
50.0,4,15.0,0.42857142857142855,8.900066863624195,4,27.0,0.5449520541579888,4,27.0
55.0,7,43.0,1.131578947368421,9.01562450756875,7,43.0,0.5775993424513083,7,43.0
60.0,9,83.0,2.1842105263157894,7.855159682639806,9,83.0,0.4392171811066436,9,83.0
65.0,13,139.0,3.7567567567567566,6.2723926251699735,13,139.0,0.2809069174772489,13,139.0
70.0,17,218.0,6.606060606060606,4.898433925883164,17,218.0,0.13979227122297108,17,218.0
75.0,13,148.0,4.625,4.901971043569263,13,244.0,0.22904985928314425,13,244.0
80.0,6,48.0,1.4545454545454546,7.386878111159102,6,190.0,0.4508767862775347,6,190.0
85.0,2,9.0,0.25,8.83281658081724,2,118.0,0.5322759373662724,2,118.0
90.0,6,32.0,0.9142857142857143,8.310385992341667,6,73.0,0.49580848077896433,6,73.0
95.0,9,71.0,1.8205128205128205,8.079812206409617,9,71.0,0.46957723376459687,9,71.0
100.0,12,128.0,2.909090909090909,7.662080169090031,12,128.0,0.467934311991269,12,128.0
105.0,14,193.0,4.386363636363637,6.505125501016588,14,193.0,0.3640519189705518,14,193.0
110.0,15,132.0,3.0,4.862367965560235,15,219.0,0.26203475402720977,15,219.0
115.0,13,57.0,1.2391304347826086,5.350999077105205,13,199.0,0.275178407718733,13,199.0
120.0,12,68.0,1.36,5.977318011381703,12,176.0,0.28610736239245266,12,176.0
125.0,12,116.0,2.32,6.043599978428019,12,184.0,0.3056849819260646,12,184.0
130.0,17,193.0,3.938775510204082,6.421574406110842,17,216.0,0.325576250168475,17,216.0
135.0,19,287.0,5.857142857142857,6.37982728287406,19,290.0,0.32448664217905826,19,290.0
140.0,23,395.0,7.745098039215686,5.676666972438525,23,395.0,0.2632798370956416,23,395.0
145.0,25,329.0,6.854166666666667,4.001403210708259,25,452.0,0.14176516369387873,25,452.0
150.0,20,188.0,3.76,4.544030589376071,20,441.0,0.1925890613899466,20,441.0
155.0,17,131.0,2.7291666666666665,5.3429496997592,17,373.0,0.22114971385079757,17,373.0
160.0,12,112.0,2.2857142857142856,6.005705579193465,12,333.0,0.26652882743900386,12,333.0
165.0,13,160.0,3.2,7.140376332561841,13,303.0,0.3948743460582281,13,303.0
170.0,16,233.0,4.957446808510638,6.861020092812854,16,298.0,0.33058033552435256,16,298.0
175.0,20,326.0,7.2444444444444445,6.8093695871943485,20,338.0,0.30808825753688135,20,338.0
180.0,17,228.0,5.3023255813953485,5.305748363781528,17,355.0,0.2089183958060187,17,355.0
185.0,15,92.0,2.1904761904761907,5.265903940820529,15,308.0,0.20993157918364252,15,308.0
190.0,10,68.0,1.7435897435897436,6.241318457738815,10,244.0,0.28045256200355606,10,244.0
195.0,10,112.0,2.604651162790698,8.081926234065058,10,186.0,0.4920261526134614,10,186.0
200.0,11,163.0,3.6222222222222222,8.032248843533402,11,182.0,0.48754093052859065,11,182.0
205.0,15,227.0,5.159090909090909,6.5554433301311725,15,232.0,0.30812774290011546,15,232.0
210.0,19,313.0,7.113636363636363,6.171208258534478,19,318.0,0.28192298349002465,19,318.0
215.0,16,212.0,5.0476190476190474,5.6195380683499465,16,338.0,0.2653297507525683,16,338.0
220.0,14,105.0,2.5,5.731745337095999,14,280.0,0.23713018652374634,14,280.0
