step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,4,0,0,0,4,0,0.0,0.0,13.555412973445291,0,0.0,0.9601627787673491,0,0.0
10.0,5,0,0,0,5,0,0.0,0.0,13.489150447682274,0,0.0,0.9481715621916728,0,0.0
15.0,10,0,1,0,10,0,1.0,0.1,11.018474365307918,1,1.0,0.7730767959481273,1,1.0
20.0,12,0,2,0,12,0,9.0,0.75,10.20332091523256,2,9.0,0.7187939983826228,2,9.0
25.0,14,0,3,1,15,0,21.0,1.5,9.219717897674995,3,21.0,0.6094271361623099,3,21.0
30.0,13,0,4,3,16,0,39.0,3.0,8.708885796269964,4,39.0,0.4776994533079778,4,39.0
35.0,14,0,4,5,19,0,59.0,4.214285714285714,8.161435418947061,4,59.0,0.5184458763169649,4,59.0
40.0,16,0,5,5,21,0,84.0,5.25,8.970904022834969,5,84.0,0.48969362964208624,5,84.0
45.0,19,0,5,8,27,0,109.0,5.7368421052631575,8.855346640072048,5,109.0,0.5607041291853592,5,109.0
50.0,21,0,7,9,30,0,142.0,6.761904761904762,8.621463932421513,7,142.0,0.5253143308074042,7,142.0
55.0,24,0,9,12,36,0,179.0,7.458333333333333,7.63075771360306,9,179.0,0.4721285353047354,9,179.0
60.0,26,0,10,14,40,0,227.0,8.73076923076923,6.878871124666184,10,227.0,0.41214894211477054,10,227.0
65.0,28,0,13,14,42,0,290.0,10.357142857142858,6.5697503650284945,13,290.0,0.3534216234441193,13,290.0
70.0,30,0,14,17,47,0,356.0,11.866666666666667,6.661031004859582,14,356.0,0.3307763073769882,14,356.0
75.0,30,0,15,21,51,0,429.0,14.3,6.070685968812525,15,429.0,0.2927395043476262,15,429.0
80.0,33,0,16,22,55,0,509.0,15.424242424242424,6.58425680188762,16,509.0,0.31821981934489196,16,509.0
85.0,33,0,17,26,59,0,592.0,17.939393939393938,6.535696354589494,17,592.0,0.30843601744860055,17,592.0
90.0,34,0,19,29,63,0,680.0,20.0,5.22605160807062,19,680.0,0.19256028720632173,19,680.0
95.0,32,0,21,33,65,0,782.0,24.4375,4.758275784183689,21,782.0,0.21324798087012736,21,782.0
100.0,32,0,22,36,68,0,888.0,27.75,4.099247405973367,22,888.0,0.17083891264951553,22,888.0
105.0,34,0,23,37,71,0,999.0,29.38235294117647,4.0893023168327485,23,999.0,0.16976625748484878,23,999.0
110.0,33,0,17,40,73,0,615.0,18.636363636363637,3.831578599326721,17,919.0,0.1962945773903672,17,919.0
115.0,33,0,11,42,75,0,171.0,5.181818181818182,4.830281748400286,11,681.0,0.21414092913823618,11,681.0
120.0,36,0,5,43,79,0,32.0,0.8888888888888888,7.510042585381304,5,382.0,0.3738398816641723,5,382.0
125.0,36,0,7,46,82,0,60.0,1.6666666666666667,8.967494399267608,7,204.0,0.510689148051886,7,204.0
130.0,37,0,10,52,89,0,99.0,2.675675675675676,8.397825939100997,10,121.0,0.4776226068622951,10,121.0
135.0,36,0,12,57,93,0,156.0,4.333333333333333,7.209172421904354,12,156.0,0.3551975904118743,12,156.0
140.0,34,0,16,61,95,0,229.0,6.735294117647059,5.328778232508917,16,229.0,0.17700057274526357,16,229.0
145.0,33,0,22,66,99,0,326.0,9.878787878787879,3.895635048455431,22,326.0,0.13609161481629373,22,326.0
150.0,31,0,24,72,103,0,440.0,14.193548387096774,2.664296648443199,24,440.0,0.16711589193346696,24,440.0
155.0,34,0,25,72,106,0,562.0,16.529411764705884,2.380741324200012,25,562.0,0.0955668510754899,25,562.0
160.0,37,0,29,73,110,0,700.0,18.91891891891892,2.3441778244107505,29,700.0,0.12105019584494313,29,700.0
165.0,37,0,32,74,111,0,853.0,23.054054054054053,1.611042969418832,32,853.0,0.06579067908400864,32,853.0
170.0,40,0,33,75,115,0,1017.0,25.425,1.6149396233803592,33,1017.0,0.05201028701425074,33,1017.0
175.0,41,5,36,76,117,0,1193.0,29.097560975609756,1.5984714919789518,36,1193.0,0.07623135124817863,36,1193.0
180.0,42,10,36,77,119,0,1373.0,32.69047619047619,1.7537769045045388,36,1373.0,0.11705447693219272,36,1373.0
185.0,43,12,36,78,121,0,1553.0,36.116279069767444,2.0705889492925187,36,1553.0,0.11652856477806502,36,1553.0
190.0,44,14,36,78,122,0,1733.0,39.38636363636363,2.24795872726261,36,1733.0,0.09516996250879806,36,1733.0
195.0,44,16,36,78,122,0,1913.0,43.47727272727273,2.1395236411825835,36,1913.0,0.025902695439341598,36,1913.0
200.0,41,20,36,82,123,0,2093.0,51.048780487804876,1.4710023431435388,36,2093.0,0.02702702702702703,36,2093.0
205.0,41,23,36,82,123,0,2273.0,55.4390243902439,1.4259821496015728,36,2273.0,0.026558430136028266,36,2273.0
210.0,40,25,36,85,125,0,2453.0,61.325,1.2646800262540103,36,2453.0,0.07315426621520026,36,2453.0
215.0,40,28,30,86,126,0,2035.0,50.875,1.7481232894014256,30,2420.0,0.09434052951001902,30,2420.0
220.0,42,33,20,86,128,0,1304.0,31.047619047619047,4.175993597948688,20,2155.0,0.19201392464032152,20,2155.0
225.0,43,36,13,87,130,0,686.0,15.953488372093023,6.222246925056501,13,1709.0,0.2733593860547588,13,1709.0
230.0,39,40,7,92,131,0,197.0,5.051282051282051,7.270169364200953,7,1350.0,0.38910208398169516,7,1350.0
235.0,38,40,7,95,133,0,46.0,1.2105263157894737,7.620060642607943,7,981.0,0.3840026333651825,7,981.0
240.0,38,38,8,100,138,0,85.0,2.236842105263158,8.54167860644948,8,591.0,0.4569843773267191,8,591.0
245.0,36,38,8,106,142,0,125.0,3.4722222222222223,8.302507992334172,8,308.0,0.4309626094758887,8,308.0
250.0,40,33,8,111,151,0,165.0,4.125,8.496995166917,8,165.0,0.4766426229088788,8,165.0
255.0,40,31,9,116,156,0,210.0,5.25,8.741644835262004,9,210.0,0.4955717221843863,9,210.0
260.0,41,30,11,122,163,0,258.0,6.2926829268292686,7.922275899267546,11,258.0,0.43281724186966003,11,258.0
265.0,42,27,13,127,169,0,320.0,7.619047619047619,7.171662463913627,13,320.0,0.368954834417157,13,320.0
270.0,44,25,17,132,176,0,397.0,9.022727272727273,6.717432426741382,17,397.0,0.36796850482669,17,397.0
275.0,44,21,19,137,181,0,484.0,11.0,5.814676082689943,19,484.0,0.30842487953168335,19,484.0
280.0,49,19,20,138,187,0,583.0,11.89795918367347,6.018259238610111,20,583.0,0.298540192305076,20,583.0
285.0,48,19,21,144,192,0,685.0,14.270833333333334,6.011477085381897,21,685.0,0.2840452662458295,21,685.0
290.0,47,18,21,149,196,0,790.0,16.80851063829787,5.688477596265523,21,790.0,0.24188583879363498,21,790.0
295.0,47,16,21,154,201,0,895.0,19.04255319148936,5.706347563447755,21,895.0,0.26378772777612136,21,895.0
300.0,49,14,21,158,207,0,1000.0,20.408163265306122,6.22346491851937,21,1000.0,0.28022635617979363,21,1000.0
305.0,49,13,22,163,212,0,1107.0,22.591836734693878,6.344745745402762,22,1107.0,0.2736261577990356,22,1107.0
310.0,50,8,22,168,218,0,1217.0,24.34,6.087230004259206,22,1217.0,0.27548290717972335,22,1217.0
315.0,50,6,23,174,224,0,1328.0,26.56,6.089743219695728,23,1328.0,0.2937450606860937,23,1328.0
