step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,2,0,0,0,2,0,0.0,0.0,13.406696155811044,0,0.0,0.9812456505073393,0,0.0
10.0,7,0,0,0,7,0,0.0,0.0,13.587712974723926,0,0.0,0.9662448657175149,0,0.0
15.0,11,0,0,0,11,0,0.0,0.0,12.540152580474636,0,0.0,0.8683963642813547,0,0.0
20.0,13,0,2,0,13,0,6.0,0.46153846153846156,10.509114997923975,2,6.0,0.6336914626095467,2,6.0
25.0,18,0,1,0,18,0,1.0,0.05555555555555555,9.954188589261745,1,5.0,0.6451252536911108,1,5.0
30.0,21,0,4,2,23,0,14.0,0.6666666666666666,9.55949286702562,4,14.0,0.5829597710468573,4,14.0
35.0,21,0,1,4,25,0,1.0,0.047619047619047616,7.737685783838779,1,14.0,0.4706806353330337,1,14.0
40.0,21,0,1,8,29,0,3.0,0.14285714285714285,8.6740564911414,1,4.0,0.5384750765823137,1,4.0
45.0,25,0,2,8,33,0,11.0,0.44,10.834940476188931,2,11.0,0.6704294741772595,2,11.0
50.0,24,0,1,12,36,0,3.0,0.125,8.79664038923761,1,3.0,0.5219087694284466,1,3.0
55.0,23,0,7,16,39,0,32.0,1.391304347826087,7.448542162539804,7,32.0,0.3301818909537558,7,32.0
60.0,22,0,4,20,42,0,20.0,0.9090909090909091,6.774348968184998,4,50.0,0.3713643078416484,4,50.0
65.0,20,0,1,23,43,0,1.0,0.05,7.410362382066421,1,26.0,0.3265234986207131,1,26.0
70.0,24,0,1,24,48,0,2.0,0.08333333333333333,8.35076552538361,1,19.0,0.451464761026027,1,19.0
75.0,23,0,7,28,51,0,29.0,1.2608695652173914,6.479963266672491,7,46.0,0.3447193479361359,7,46.0
80.0,24,0,13,31,55,0,84.0,3.5,5.40960372199363,13,101.0,0.28438433312400047,13,101.0
85.0,25,0,9,33,58,0,67.0,2.68,5.259010157962258,9,122.0,0.3315638062447124,9,122.0
90.0,28,0,2,34,62,0,4.0,0.14285714285714285,6.4154228458931675,2,91.0,0.3417674746489843,2,91.0
