step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.778248089909994,0,0.0,0.9600645913235057,0,0.0
10.0,0,0.0,0.0,12.995803620219577,0,0.0,0.9251564392835774,0,0.0
15.0,1,1.0,0.0625,11.522265713368505,1,1.0,0.8228825707683183,1,1.0
20.0,2,9.0,0.375,10.139195242907496,2,9.0,0.671151718466793,2,9.0
25.0,6,31.0,1.0689655172413792,9.495419270930286,6,31.0,0.6120599158060961,6,31.0
30.0,4,8.0,0.2857142857142857,6.667992773601875,4,34.0,0.431149563492847,4,34.0
35.0,5,21.0,0.7,7.387670592486217,5,26.0,0.3860556857483822,5,26.0
40.0,9,60.0,1.935483870967742,8.2254658658943,9,60.0,0.40563257315762785,9,60.0
45.0,6,30.0,0.9090909090909091,6.780369803400128,6,74.0,0.3753772453098991,6,74.0
50.0,8,36.0,1.0588235294117647,7.91294127699058,8,61.0,0.500008880994308,8,61.0
55.0,9,78.0,2.108108108108108,8.10350695844034,9,78.0,0.47274479997796914,9,78.0
60.0,6,43.0,1.075,7.0376216783630925,6,95.0,0.41008475036014996,6,95.0
65.0,7,22.0,0.55,6.560913166686774,7,78.0,0.3599491659694753,7,78.0
70.0,10,61.0,1.4186046511627908,6.772383285104763,10,69.0,0.3500530713508716,10,69.0
75.0,12,117.0,2.7209302325581395,7.030686487166457,12,118.0,0.3539829263671259,12,118.0
80.0,9,73.0,1.7380952380952381,6.345417777760347,9,138.0,0.32742127233614915,9,138.0
85.0,7,22.0,0.5238095238095238,5.674657088262233,7,115.0,0.284071525246866,7,115.0
90.0,12,68.0,1.619047619047619,6.733479140433179,12,95.0,0.36312185677531655,12,95.0
95.0,15,137.0,2.9782608695652173,6.840123586868108,15,143.0,0.36953788485555045,15,143.0
100.0,13,117.0,2.659090909090909,5.544563507446531,13,182.0,0.27032195591046027,13,182.0
105.0,11,50.0,1.2195121951219512,5.626266138304029,11,165.0,0.20170099645815992,11,165.0
110.0,11,73.0,1.7804878048780488,6.969471732147039,11,147.0,0.32378524413835424,11,147.0
115.0,14,137.0,3.1136363636363638,7.718551986868809,14,161.0,0.42251682287437464,14,161.0
120.0,10,99.0,2.25,6.342468180194007,10,177.0,0.36547329346039903,10,177.0
125.0,10,31.0,0.7045454545454546,5.606372026122378,10,159.0,0.25229773705845787,10,159.0
130.0,11,70.0,1.4893617021276595,6.375942271284071,11,126.0,0.3187896614086503,11,126.0
135.0,14,137.0,2.74,6.96265404148748,14,156.0,0.3585010921636256,14,156.0
140.0,13,104.0,2.2127659574468086,5.408365457525734,13,177.0,0.272075784083169,13,177.0
145.0,12,47.0,1.0217391304347827,5.272688743340637,12,160.0,0.2257217481551174,12,160.0
150.0,13,77.0,1.6041666666666667,6.114642479915397,13,152.0,0.26933236774842956,13,152.0
155.0,12,76.0,1.4901960784313726,6.029165276145599,12,181.0,0.3466619468068442,12,181.0
160.0,11,37.0,0.7254901960784313,5.444278384199229,11,184.0,0.2724877284784346,11,184.0
165.0,12,68.0,1.3076923076923077,5.4756578328039245,12,180.0,0.2380580645532273,12,180.0
170.0,16,75.0,1.3888888888888888,4.600124653415201,16,210.0,0.22990740294835108,16,210.0
175.0,16,67.0,1.2407407407407407,4.013352902035613,16,221.0,0.16690370263454288,16,221.0
180.0,22,112.0,2.074074074074074,4.349780988520292,22,262.0,0.16922319097522653,22,262.0
185.0,16,91.0,1.625,4.20336757168246,16,299.0,0.2032382025802476,16,299.0
190.0,15,63.0,1.105263157894737,4.461604565249314,15,279.0,0.18730277538227738,15,279.0
