step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.627636955420366,0,0.0,0.942691146212828,0,0.0
10.0,0,0.0,0.0,12.509549180066525,0,0.0,0.9362320646195457,0,0.0
15.0,0,0.0,0.0,11.393092889118346,0,0.0,0.8352417248941931,0,0.0
20.0,4,8.0,0.2857142857142857,9.576019455856395,4,8.0,0.608612914060351,4,8.0
25.0,8,36.0,1.0588235294117647,8.892647888294288,8,37.0,0.5302936727651519,8,37.0
30.0,11,82.0,2.411764705882353,7.113573638148616,11,83.0,0.3772669302874356,11,83.0
35.0,15,150.0,4.285714285714286,6.223504202561483,15,151.0,0.3070380612295858,15,151.0
40.0,13,119.0,3.5,5.080033026351252,13,190.0,0.2444339638330629,13,190.0
45.0,8,47.0,1.2702702702702702,6.881598159903666,8,175.0,0.40185147438910546,8,175.0
50.0,5,26.0,0.6341463414634146,7.384383960522101,5,114.0,0.4015601640815454,5,114.0
55.0,9,61.0,1.4523809523809523,7.232313960211447,9,106.0,0.39251623588802337,9,106.0
60.0,12,118.0,2.8780487804878048,7.664280547939049,12,118.0,0.4525243047490824,12,118.0
65.0,14,183.0,4.6923076923076925,6.379102601168401,14,183.0,0.31445157033392296,14,183.0
70.0,17,262.0,6.55,5.645799187318384,17,262.0,0.21206734146011907,17,262.0
75.0,14,183.0,4.6923076923076925,5.794240963563609,14,283.0,0.2892090012888004,14,283.0
80.0,8,50.0,1.3513513513513513,6.1268980736727245,8,234.0,0.2945242952448582,8,234.0
85.0,4,20.0,0.4878048780487805,8.128530085539705,4,138.0,0.477238372456651,4,138.0
90.0,7,47.0,1.146341463414634,7.365833198093785,7,110.0,0.41277798274714933,7,110.0
95.0,11,94.0,2.292682926829268,7.646613910574368,11,102.0,0.4489945354249573,11,102.0
100.0,13,155.0,3.7804878048780486,6.704631376781415,13,155.0,0.34602160591431536,13,155.0
105.0,17,235.0,5.465116279069767,7.095706264176462,17,235.0,0.3465226622685928,17,235.0
110.0,13,157.0,3.8292682926829267,5.536112649867753,13,252.0,0.2593769762561553,13,252.0
115.0,10,48.0,1.2,6.1919268506605745,10,173.0,0.2783806782330906,10,173.0
120.0,7,39.0,0.9512195121951219,7.482454808217676,7,140.0,0.41839842189608845,7,140.0
125.0,9,71.0,1.6511627906976745,7.698642940330842,9,115.0,0.43749350682177995,9,115.0
130.0,13,126.0,2.8636363636363638,7.398840739772249,13,136.0,0.41641578791963146,13,136.0
135.0,16,198.0,4.304347826086956,7.078490489831688,16,198.0,0.4066440937510202,16,198.0
140.0,18,284.0,6.173913043478261,6.621731168995446,18,284.0,0.3499355353948664,18,284.0
145.0,16,199.0,4.326086956521739,5.317108387469488,16,309.0,0.23618175871922892,16,309.0
150.0,13,83.0,1.7659574468085106,6.184288159622865,13,275.0,0.3211396846362643,13,275.0
155.0,13,72.0,1.5,6.112945404125893,13,217.0,0.3018190351657433,13,217.0
160.0,13,124.0,2.6382978723404253,6.252477258918188,13,188.0,0.27316156664108443,13,188.0
165.0,16,202.0,4.488888888888889,6.824105407608497,16,229.0,0.3311574763569481,16,229.0
170.0,18,287.0,6.377777777777778,6.343754123661301,18,288.0,0.3151261466136867,18,288.0
175.0,21,388.0,8.083333333333334,6.348845505329095,21,389.0,0.31165040076900774,21,389.0
180.0,18,300.0,6.25,5.916071466115284,18,424.0,0.29574086270560285,18,424.0
185.0,11,119.0,2.5319148936170213,5.899702617667931,11,320.0,0.2673253365398575,11,320.0
190.0,13,59.0,1.3409090909090908,5.739015398796914,13,275.0,0.22263139733402404,13,275.0
195.0,13,107.0,2.4318181818181817,6.855194750660268,13,218.0,0.3477102635210314,13,218.0
200.0,15,177.0,4.0227272727272725,6.7068489619559335,15,210.0,0.36550062431437813,15,210.0
205.0,18,265.0,5.638297872340425,6.391393103642602,18,268.0,0.32131959369161794,18,268.0
210.0,22,368.0,7.510204081632653,6.006129054910692,22,368.0,0.2738012529467045,22,368.0
215.0,20,300.0,6.0,5.145583456005737,20,416.0,0.2798714482659353,20,416.0
220.0,18,149.0,3.0408163265306123,4.807173035923687,18,393.0,0.217843904880838,18,393.0
225.0,16,102.0,2.125,4.828983394658247,16,313.0,0.16462986459326454,16,313.0
230.0,15,127.0,2.54,6.0873743663177695,15,306.0,0.29540602112523984,15,306.0
235.0,15,202.0,4.208333333333333,6.681837979328545,15,283.0,0.3360559140058458,15,283.0
240.0,19,288.0,5.877551020408164,6.97988178959374,19,307.0,0.361015555554421,19,307.0
245.0,20,386.0,7.877551020408164,6.6220409628685,20,387.0,0.3606466803699495,20,387.0
250.0,20,304.0,5.846153846153846,5.29394047151449,20,426.0,0.28501316030294066,20,426.0
255.0,17,136.0,2.6153846153846154,5.202372868617686,17,399.0,0.266117937569313,17,399.0
260.0,15,98.0,1.849056603773585,5.514236135072047,15,311.0,0.23571549837281403,15,311.0
265.0,15,129.0,2.480769230769231,5.992477172602089,15,274.0,0.27136116822327944,15,274.0
270.0,19,217.0,4.018518518518518,6.452491372614946,19,287.0,0.3464127356724495,19,287.0
275.0,23,325.0,6.132075471698113,6.078391067863245,23,345.0,0.28408088478742066,23,345.0
280.0,27,455.0,8.92156862745098,5.2441289587798465,27,457.0,0.22821595419395074,27,457.0
