step,system_total_waiting_time
0.0,0.0
5.0,0.0
10.0,0.0
15.0,1.0
20.0,9.0
25.0,31.0
30.0,67.0
35.0,119.0
40.0,70.0
45.0,12.0
50.0,10.0
55.0,26.0
60.0,55.0
65.0,106.0
70.0,173.0
75.0,113.0
80.0,30.0
85.0,48.0
90.0,99.0
95.0,159.0
100.0,236.0
105.0,321.0
110.0,222.0
115.0,47.0
120.0,29.0
125.0,58.0
130.0,100.0
135.0,162.0
140.0,248.0
145.0,180.0
150.0,90.0
155.0,54.0
160.0,80.0
165.0,138.0
170.0,216.0
175.0,311.0
180.0,239.0
185.0,140.0
190.0,115.0
195.0,116.0
200.0,166.0
205.0,243.0
210.0,335.0
215.0,228.0
220.0,89.0
225.0,77.0
230.0,133.0
235.0,208.0
240.0,303.0
245.0,419.0
250.0,353.0
255.0,192.0
260.0,130.0
265.0,100.0
270.0,161.0
275.0,249.0
280.0,355.0
285.0,295.0
290.0,170.0
295.0,130.0
300.0,146.0
305.0,244.0
310.0,370.0
315.0,516.0
320.0,469.0
325.0,313.0
330.0,186.0
335.0,163.0
340.0,208.0
345.0,294.0
350.0,398.0
355.0,320.0
360.0,148.0
365.0,111.0
370.0,135.0
375.0,242.0
380.0,370.0
385.0,511.0
390.0,472.0
395.0,321.0
400.0,235.0
405.0,162.0
410.0,202.0
415.0,288.0
420.0,386.0
425.0,313.0
430.0,156.0
435.0,151.0
440.0,184.0
445.0,285.0
450.0,416.0
455.0,561.0
460.0,521.0
465.0,369.0
470.0,291.0
475.0,208.0
480.0,258.0
485.0,378.0
490.0,510.0
495.0,446.0
500.0,270.0
505.0,180.0
510.0,159.0
515.0,264.0
520.0,413.0
525.0,591.0
530.0,581.0
535.0,445.0
540.0,340.0
545.0,282.0
550.0,252.0
555.0,381.0
560.0,524.0
565.0,487.0
570.0,370.0
575.0,266.0
580.0,205.0
585.0,280.0
590.0,426.0
595.0,598.0
600.0,580.0
605.0,449.0
610.0,385.0
615.0,293.0
620.0,303.0
625.0,447.0
630.0,604.0
635.0,571.0
640.0,450.0
645.0,335.0
650.0,213.0
655.0,287.0
660.0,428.0
665.0,601.0
670.0,582.0
675.0,433.0
680.0,309.0
685.0,235.0
690.0,258.0
695.0,389.0
700.0,528.0
705.0,491.0
710.0,348.0
715.0,269.0
720.0,197.0
725.0,259.0
730.0,401.0
735.0,572.0
740.0,558.0
745.0,428.0
750.0,334.0
755.0,262.0
760.0,262.0
765.0,404.0
770.0,575.0
775.0,555.0
780.0,413.0
785.0,332.0
790.0,220.0
795.0,257.0
800.0,395.0
805.0,569.0
810.0,552.0
815.0,441.0
820.0,317.0
825.0,248.0
830.0,243.0
835.0,386.0
840.0,559.0
845.0,545.0
850.0,416.0
855.0,344.0
860.0,264.0
865.0,285.0
870.0,425.0
875.0,596.0
880.0,579.0
885.0,436.0
890.0,356.0
895.0,264.0
900.0,266.0
905.0,399.0
910.0,559.0
915.0,535.0
920.0,389.0
925.0,306.0
930.0,242.0
935.0,276.0
940.0,427.0
945.0,611.0
950.0,601.0
955.0,464.0
960.0,392.0
965.0,317.0
970.0,291.0
975.0,435.0
980.0,594.0
985.0,556.0
990.0,395.0
995.0,299.0
1000.0,197.0
0.0,0.0
5.0,0.0
10.0,0.0
15.0,0.0
20.0,16.0
25.0,54.0
30.0,111.0
35.0,185.0
40.0,134.0
45.0,35.0
50.0,35.0
55.0,77.0
60.0,136.0
65.0,202.0
70.0,289.0
75.0,210.0
80.0,90.0
85.0,75.0
90.0,131.0
95.0,211.0
100.0,305.0
105.0,404.0
110.0,308.0
115.0,117.0
120.0,65.0
125.0,126.0
130.0,202.0
135.0,288.0
140.0,386.0
145.0,292.0
150.0,106.0
155.0,70.0
160.0,87.0
165.0,131.0
170.0,182.0
175.0,245.0
180.0,135.0
185.0,54.0
190.0,83.0
195.0,157.0
200.0,247.0
205.0,348.0
210.0,456.0
215.0,375.0
220.0,179.0
225.0,96.0
230.0,131.0
235.0,209.0
240.0,300.0
245.0,408.0
250.0,331.0
255.0,166.0
260.0,126.0
265.0,152.0
270.0,218.0
275.0,322.0
280.0,442.0
285.0,376.0
290.0,235.0
295.0,140.0
300.0,143.0
305.0,222.0
310.0,327.0
315.0,448.0
320.0,386.0
325.0,226.0
330.0,172.0
335.0,182.0
340.0,229.0
345.0,335.0
350.0,463.0
355.0,408.0
360.0,295.0
365.0,212.0
370.0,201.0
375.0,274.0
380.0,413.0
385.0,559.0
390.0,517.0
395.0,372.0
400.0,290.0
405.0,216.0
410.0,265.0
415.0,390.0
420.0,527.0
425.0,464.0
430.0,288.0
435.0,199.0
440.0,170.0
445.0,248.0
450.0,372.0
455.0,522.0
460.0,480.0
465.0,323.0
470.0,259.0
475.0,173.0
480.0,235.0
485.0,326.0
490.0,433.0
495.0,348.0
500.0,212.0
505.0,134.0
510.0,160.0
515.0,251.0
520.0,359.0
525.0,483.0
530.0,414.0
535.0,263.0
540.0,170.0
545.0,179.0
550.0,283.0
555.0,421.0
560.0,582.0
565.0,555.0
570.0,401.0
575.0,311.0
580.0,193.0
585.0,207.0
590.0,300.0
595.0,397.0
600.0,303.0
605.0,119.0
610.0,84.0
615.0,142.0
620.0,248.0
625.0,387.0
630.0,555.0
635.0,533.0
640.0,410.0
645.0,263.0
650.0,140.0
655.0,186.0
660.0,286.0
665.0,404.0
670.0,345.0
675.0,228.0
680.0,147.0
