step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.898095705298651,0,0.0,0.9550857491850625,0,0.0
10.0,0,0.0,0.0,13.002808516545683,0,0.0,0.931077422283566,0,0.0
15.0,0,0.0,0.0,10.902188620521077,0,0.0,0.8001393444746886,0,0.0
20.0,3,9.0,0.5294117647058824,9.75217380582767,3,9.0,0.6512004610495696,3,9.0
25.0,1,1.0,0.045454545454545456,8.913556349702548,1,8.0,0.5950289536166263,1,8.0
30.0,1,6.0,0.25,10.154660360209663,1,6.0,0.7264851247545246,1,6.0
35.0,2,5.0,0.1724137931034483,9.336980126968957,2,6.0,0.623501125568486,2,6.0
40.0,3,17.0,0.53125,10.177798860107098,3,17.0,0.6469734662817802,3,17.0
45.0,2,2.0,0.06896551724137931,6.684162113244724,2,19.0,0.2948959541338215,2,19.0
50.0,6,20.0,0.6666666666666666,7.132005823157738,6,21.0,0.3389097646003354,6,21.0
55.0,6,14.0,0.4827586206896552,6.432359309155591,6,38.0,0.368689366163892,6,38.0
60.0,7,38.0,1.1515151515151516,7.957602027033402,7,43.0,0.48729183255072805,7,43.0
65.0,1,7.0,0.1891891891891892,8.308061418573631,1,43.0,0.5284991958734341,1,43.0
70.0,5,18.0,0.47368421052631576,7.579000932072183,5,26.0,0.4454928506921655,5,26.0
75.0,7,17.0,0.4594594594594595,5.7566758790042485,7,39.0,0.29818990551665714,7,39.0
80.0,8,31.0,0.775,6.7929574573992895,8,51.0,0.39514770395950244,8,51.0
85.0,10,37.0,0.8809523809523809,5.8814161415264685,10,86.0,0.3556204977785904,10,86.0
90.0,11,44.0,1.0,5.599374027527444,11,109.0,0.2926579095653884,11,109.0
95.0,10,39.0,0.8478260869565217,4.996865898731549,10,130.0,0.2850143316247289,10,130.0
100.0,8,36.0,0.6923076923076923,5.532339326639981,8,129.0,0.3238530077177969,8,129.0
105.0,12,39.0,0.7090909090909091,4.421063441272896,12,151.0,0.24509313514243714,12,151.0
110.0,12,52.0,0.9454545454545454,3.6337660155300253,12,163.0,0.16364209579111566,12,163.0
