step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.898095705298651,0,0.0,0.9550857491850625,0,0.0
10.0,0,0.0,0.0,13.002808516545683,0,0.0,0.931077422283566,0,0.0
15.0,0,0.0,0.0,10.902188620521077,0,0.0,0.8001393444746886,0,0.0
20.0,3,9.0,0.5294117647058824,9.75217380582767,3,9.0,0.6512004610495696,3,9.0
25.0,6,30.0,1.3636363636363635,8.7224284395118,6,30.0,0.5386609275845685,6,30.0
30.0,8,66.0,2.75,7.721397909659712,8,66.0,0.512215186158447,8,66.0
35.0,10,114.0,3.9310344827586206,7.7750439760423395,10,114.0,0.47935895684194607,10,114.0
40.0,6,54.0,1.6363636363636365,7.476569310394325,6,118.0,0.47551953145486675,6,118.0
45.0,5,10.0,0.30303030303030304,5.693260736982104,5,76.0,0.2508546696810652,5,76.0
50.0,8,40.0,1.1764705882352942,7.354495961962905,8,51.0,0.3438242280640956,8,51.0
55.0,11,88.0,2.588235294117647,8.051754754980072,11,91.0,0.44643104542401263,11,91.0
60.0,13,146.0,3.945945945945946,7.049973323478835,13,146.0,0.3602027447693706,13,146.0
65.0,17,222.0,5.842105263157895,6.270466342555405,17,222.0,0.36713571449576177,17,222.0
70.0,20,314.0,8.486486486486486,5.067347702244851,20,314.0,0.298786080433997,20,314.0
75.0,18,240.0,6.0,4.1510558893384495,18,354.0,0.22434451769682454,18,354.0
80.0,15,107.0,2.3777777777777778,5.249681106380494,15,323.0,0.291723303791274,15,323.0
85.0,11,70.0,1.4583333333333333,5.9108409522651355,11,244.0,0.2877396553905724,11,244.0
90.0,12,110.0,2.2448979591836733,6.4251286245323,12,230.0,0.33620356501595916,12,230.0
95.0,16,184.0,3.7551020408163267,6.444525778991569,16,221.0,0.3626003120619691,16,221.0
100.0,20,276.0,5.0181818181818185,6.430955290183014,20,281.0,0.37068996617798333,20,281.0
105.0,25,391.0,6.741379310344827,5.531150257679584,25,391.0,0.27087380699154184,25,391.0
110.0,26,333.0,5.946428571428571,3.4665402302713537,26,456.0,0.14011329311770268,26,456.0
